Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
103,tt0040897,2020-01-31,2020-01-31,,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,movie,8.2,126,1948,"Adventure, Drama, Western",119169,1948-01-14,John Huston,,
104,tt0036244,2020-01-31,2020-01-31,,The Ox-Bow Incident,https://www.imdb.com/title/tt0036244/,movie,8.0,75,1942,"Adventure, Drama, Western",22205,1942-12-04,William A. Wellman,,
105,tt0056217,2020-01-31,2020-01-31,,The Man Who Shot Liberty Valance,https://www.imdb.com/title/tt0056217/,movie,8.1,123,1962,"Drama, Western",72235,1962-04-13,John Ford,,
106,tt0065214,2020-01-31,2020-01-31,,The Wild Bunch,https://www.imdb.com/title/tt0065214/,movie,7.9,145,1969,"Action, Adventure, Western",81406,1969-05-01,Sam Peckinpah,,
107,tt1216487,2020-01-31,2020-01-31,,Flickan som lekte med elden,https://www.imdb.com/title/tt1216487/,movie,7.2,129,2009,"Action, Crime, Drama, Mystery, Thriller",93022,2009-09-18,Daniel Alfredson,,
108,tt0067277,2020-02-02,2020-02-02,,Johnny Got His Gun,https://www.imdb.com/title/tt0067277/,movie,7.9,111,1971,"Drama, War",16249,1971-05-14,Dalton Trumbo,,
109,tt0028950,2020-02-02,2020-02-02,,La grande illusion,https://www.imdb.com/title/tt0028950/,movie,8.1,113,1937,"Drama, War",35195,1937-06-08,Jean Renoir,,
110,tt0031885,2020-02-02,2020-02-02,,La règle du jeu,https://www.imdb.com/title/tt0031885/,movie,8.0,110,1939,"Comedy, Drama",27829,1939-07-08,Jean Renoir,,
111,tt0028445,2020-02-02,2020-02-02,,Partie de campagne,https://www.imdb.com/title/tt0028445/,short,7.6,40,1946,"Short, Comedy, Drama, Romance",6131,1946-09-21,Jean Renoir,,
112,tt3513548,2020-02-04,2020-02-04,,Richard Jewell,https://www.imdb.com/title/tt3513548/,movie,7.5,131,2019,"Biography, Crime, Drama",74028,2019-11-20,Clint Eastwood,,
113,tt8291806,2020-02-04,2020-02-04,,Dolor y gloria,https://www.imdb.com/title/tt8291806/,movie,7.5,113,2019,Drama,53172,2019-03-13,Pedro Almodóvar,,
114,tt1560220,2020-02-04,2020-02-04,,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,movie,6.7,99,2019,"Action, Comedy, Horror",155138,2019-10-09,Ruben Fleischer,,
115,tt8652728,2020-02-04,2020-02-04,,Waves,https://www.imdb.com/title/tt8652728/,movie,7.6,135,2019,"Drama, Romance, Sport",20913,2019-08-30,Trey Edward Shults,,
116,tt7347846,2020-02-05,2020-02-05,,The Lodge,https://www.imdb.com/title/tt7347846/,movie,6.1,108,2019,"Drama, Horror, Thriller",37819,2019-01-25,"Severin Fiala, Veronika Franz",,
117,tt0077711,2020-02-05,2020-02-05,,Höstsonaten,https://www.imdb.com/title/tt0077711/,movie,8.2,99,1978,"Drama, Music",30779,1978-10-08,Ingmar Bergman,,
118,tt0057358,2020-02-05,2020-02-05,,Nattvardsgästerna,https://www.imdb.com/title/tt0057358/,movie,8.1,81,1963,Drama,23528,1963-02-09,Ingmar Bergman,,
119,tt6725014,2020-02-05,2020-02-05,,Scener ur ett äktenskap,https://www.imdb.com/title/tt6725014/,movie,8.4,169,1974,Drama,5386,1974-09-15,Ingmar Bergman,,
120,tt0063759,2020-02-05,2020-02-05,,Vargtimmen,https://www.imdb.com/title/tt0063759/,movie,7.6,90,1968,"Drama, Horror",19605,1968-02-19,Ingmar Bergman,,
121,tt0083866,2020-02-06,2020-02-06,,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,movie,7.8,115,1982,"Family, Sci-Fi",386140,1982-05-26,Steven Spielberg,,
122,tt0163978,2020-02-06,2020-02-06,,The Beach,https://www.imdb.com/title/tt0163978/,movie,6.7,119,2000,"Adventure, Drama, Romance, Thriller",229650,2000-02-02,Danny Boyle,,
123,tt0011841,2020-02-06,2020-02-06,,Way Down East,https://www.imdb.com/title/tt0011841/,movie,7.4,145,1920,"Drama, Romance",5333,1920-08-26,D.W. Griffith,,
124,tt0086216,2020-02-06,2020-02-06,,Rumble Fish,https://www.imdb.com/title/tt0086216/,movie,7.2,94,1983,"Crime, Drama, Romance",33018,1983-10-07,Francis Ford Coppola,,
